model,em_orig,f1_orig,em_ambig,f1_ambig,cls_count_orig,cls_count_ambig
bert-base,83.55731225296442,89.32769523165385,65.37549407114625,74.1983415145243,5,31
bert-large,81.34387351778656,88.84136225795395,66.79841897233202,76.87206061047335,5,21
roberta-base,83.87351778656127,92.07043695244558,67.82608695652173,78.1275709307773,9,24
roberta-large,93.83399209486166,97.26018024114671,72.80632411067194,80.94376910083325,4,14
deberta-base,97.5494071146245,98.74501300192999,74.07114624505928,80.50360770591632,3,28
deberta-large,91.22529644268775,96.36681531959898,73.43873517786561,81.9044923276098,3,15
