model,em_orig,f1_orig,em_ambig,f1_ambig,cls_count_orig,cls_count_ambig
bert-base,83.16205533596838,88.90985220511514,61.027667984189726,69.1078800220301,13,134
bert-large,81.34387351778656,88.84136225795395,66.79841897233202,76.87206061047335,5,22
roberta-base,82.21343873517786,90.0534857427074,61.26482213438735,70.53991730505084,10,20
roberta-large,93.59683794466403,96.95978498422973,64.82213438735178,71.48896730122533,4,15
deberta-base,97.4703557312253,98.67584304145568,68.77470355731225,74.04873859134624,4,162
deberta-large,91.22529644268775,96.36681531959898,64.66403162055336,72.07306542549337,4,190
