model,em_orig_unmasked,f1_orig_unmasked,em_ambig_unmasked,f1_ambig_unmasked,cls_count_orig_unmasked,cls_count_ambig_unmasked,em_orig_masked,f1_orig_masked,em_ambig_masked,f1_ambig_masked,cls_count_orig_masked,cls_count_ambig_masked,delta_f1_orig,delta_f1_ambig,delta_cls_orig,delta_cls_ambig
bert-base,83.16205533596838,88.90985220511514,61.027667984189726,69.1078800220301,13,134,83.55731225296442,89.32769523165385,65.37549407114625,74.1983415145243,5,31,0.417843026538705,5.0904614924941995,-8,-103
bert-large,81.34387351778656,88.84136225795395,66.79841897233202,76.87206061047335,5,22,81.34387351778656,88.84136225795395,66.79841897233202,76.87206061047335,5,21,0.0,0.0,0,-1
roberta-base,82.21343873517786,90.0534857427074,61.26482213438735,70.53991730505084,10,20,83.87351778656127,92.07043695244558,67.82608695652173,78.1275709307773,9,24,2.016951209738181,7.58765362572646,-1,4
roberta-large,93.59683794466405,96.95978498422971,64.82213438735178,71.48896730122533,4,15,93.83399209486166,97.26018024114671,72.80632411067194,80.94376910083325,4,14,0.30039525691699964,9.454801799607921,0,-1
deberta-base,97.4703557312253,98.67584304145568,68.77470355731225,74.04873859134624,4,162,97.5494071146245,98.74501300193,74.07114624505928,80.50360770591632,3,28,0.06916996047432633,6.454869114570087,-1,-134
deberta-large,91.22529644268776,96.36681531959898,64.66403162055336,72.07306542549337,4,190,91.22529644268776,96.36681531959898,73.43873517786561,81.9044923276098,3,15,0.0,9.831426902116434,-1,-175
